Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
01-03-2000,4.025,4.53,4.88,5.12,5.28,5.43,5.56,5.67,5.76,5.83
01-04-2000,4.025,4.55,4.88,5.12,5.28,5.43,5.56,5.69,5.78,5.85
01-05-2000,4.025,4.54,4.87,5.11,5.28,5.43,5.57,5.7,5.8,5.87
01-06-2000,4.025,4.54,4.88,5.14,5.31,5.47,5.62,5.75,5.85,5.92
01-07-2000,3.995,4.46,4.77,5.01,5.18,5.34,5.49,5.63,5.73,5.81
01-10-2000,3.975,4.43,4.74,4.99,5.17,5.33,5.48,5.61,5.71,5.79
01-11-2000,4.015,4.52,4.85,5.1,5.28,5.44,5.59,5.72,5.82,5.9
01-12-2000,4.015,4.53,4.88,5.12,5.3,5.46,5.61,5.74,5.84,5.91
1-13-2000,4.005,4.5,4.84,5.1,5.28,5.44,5.58,5.71,5.81,5.88
1-14-2000,4.005,4.5,4.87,5.13,5.31,5.47,5.62,5.75,5.85,5.92
1-17-2000,3.995,4.52,4.88,5.14,5.32,5.48,5.62,5.75,5.85,5.93
1-18-2000,4.015,4.54,4.91,5.18,5.37,5.53,5.68,5.81,5.91,5.99
1-19-2000,3.975,4.5,4.88,5.15,5.34,5.51,5.66,5.79,5.89,5.97
1-20-2000,3.985,4.49,4.88,5.15,5.34,5.5,5.65,5.78,5.87,5.95
1-21-2000,3.995,4.52,4.92,5.18,5.37,5.53,5.66,5.79,5.88,5.96
1-24-2000,4.015,4.53,4.91,5.18,5.37,5.53,5.67,5.79,5.88,5.95
1-25-2000,4.005,4.5,4.86,5.13,5.32,5.47,5.61,5.73,5.82,5.89
1-26-2000,4.025,4.53,4.9,5.17,5.36,5.51,5.65,5.77,5.86,5.93
1-27-2000,4.135,4.64,5,5.26,5.45,5.6,5.73,5.85,5.93,6
1-28-2000,4.145,4.63,4.97,5.23,5.42,5.58,5.71,5.83,5.92,5.98
1-31-2000,4.145,4.62,4.96,5.22,5.41,5.56,5.69,5.8,5.89,5.95
02-01-2000,4.135,4.58,4.9,5.14,5.32,5.47,5.61,5.72,5.8,5.86
02-02-2000,4.155,4.58,4.91,5.15,5.33,5.48,5.62,5.73,5.81,5.87
02-03-2000,4.125,4.56,4.88,5.12,5.29,5.45,5.57,5.66,5.74,5.8
02-04-2000,4.165,4.66,4.99,5.23,5.41,5.57,5.7,5.8,5.88,5.94
02-07-2000,4.165,4.68,5.01,5.25,5.43,5.58,5.71,5.81,5.89,5.95
02-08-2000,4.155,4.65,4.98,5.21,5.38,5.53,5.66,5.76,5.83,5.89
02-09-2000,4.165,4.67,5.01,5.25,5.42,5.57,5.7,5.8,5.87,5.92
02-10-2000,4.165,4.68,5.04,5.3,5.47,5.63,5.77,5.87,5.95,6
02-11-2000,4.175,4.69,5.05,5.3,5.48,5.63,5.76,5.86,5.94,6
2-14-2000,4.155,4.65,5,5.24,5.41,5.56,5.69,5.79,5.87,5.93
2-15-2000,4.165,4.66,5.01,5.26,5.43,5.58,5.71,5.81,5.89,5.94
2-16-2000,4.185,4.68,5.04,5.29,5.46,5.61,5.74,5.85,5.93,5.98
2-17-2000,4.205,4.73,5.07,5.31,5.48,5.63,5.76,5.86,5.93,5.99
2-18-2000,4.245,4.75,5.07,5.29,5.45,5.6,5.72,5.82,5.89,5.94
2-21-2000,4.295,4.77,5.07,5.28,5.44,5.59,5.71,5.8,5.87,5.92
2-22-2000,4.265,4.69,4.97,5.17,5.33,5.48,5.61,5.72,5.79,5.85
2-23-2000,4.265,4.7,4.98,5.19,5.35,5.5,5.63,5.74,5.81,5.87
2-24-2000,4.235,4.64,4.93,5.14,5.31,5.46,5.59,5.71,5.78,5.84
